,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time signature,genre
2bL2gyO6kBdLkNSkxXNh6x,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,4,0,4,pop
3smNEkvYPv6yg9t5fbYKR7,0.471,0.646,-4.37,0.309,0.132,0.0,0.249,0.415,126.17,5,0,4,pop
4omisSlTk6Dsq2iQD7MA07,0.487,0.9,-4.417,0.0482,6.79e-05,0.0,0.358,0.484,149.937,0,1,4,pop
5dKyZWlgjWw1oJgLa4GCZD,0.671,0.71,-6.997,0.109,0.335,4.76e-06,0.074,0.233,102.022,9,0,4,pop
0azC730Exh71aQlOt9Zj3y,0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962,9,0,4,dance
0aOluBqXYd0rFSCsgDyAWX,0.575,0.664,-5.303,0.0481,0.637,0.0,0.116,0.437,129.07,4,0,4,pop
6DNtNfH8hXkqOX1sjqmI7p,0.608,0.798,-5.092,0.0432,0.0736,0.0,0.156,0.501,92.943,6,0,4,pop
1ExfPZEiahqhLyajhybFeS,0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,174.915,8,0,4,pop
6tl8Ghkzp7e5xQuwI7AhEH,0.555,0.715,-4.821,0.0468,0.00192,0.0,0.114,0.402,91.951,11,0,4,pop
7JIuqL4ZqkpfGKQhYlrirs,0.452,0.563,-6.607,0.0272,0.144,0.0,0.143,0.209,137.715,4,1,3,pop
6YVwfOA1i0aLivDlrLaHOC,0.578,0.939,-3.676,0.0654,0.00421,0.231,0.521,0.216,128.12,6,1,4,pop
7xHWNBFm6ObGEQPaUxHuKO,0.668,0.725,-6.127,0.266,0.0102,0.000479,0.0561,0.729,191.944,1,1,4,pop
5XJJdNPkwmbUwE79gv0NxK,0.646,0.696,-5.572,0.342,0.0192,0.0,0.0762,0.625,92.88,1,0,4,pop
32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,0,1,4,pop
7huo2wvrCgRucUsjdSDLQV,0.862,0.742,-4.722,0.222,0.00376,0.00855,0.103,0.511,127.91,7,1,4,pop
2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,1,1,4,pop
7byVvZW3abFyrIcQvBSc1u,0.688,0.76,-9.892,0.036,0.0425,0.0,0.138,0.765,95.048,5,0,4,pop
4TqvGuY25q9nvA8sHkKhFC,0.566,0.385,-8.306,0.0319,0.0325,0.000126,0.165,0.164,95.14,2,0,4,pop
4SRqDmPxYX0pUb5B5ut2Ri,0.452,0.574,-8.336,0.31,0.246,0.0,0.189,0.58,92.791,6,1,4,pop
4S5b3wwIXpVNvY2jeIQdKu,0.677,0.671,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046,7,1,4,pop
1GH5tpvz5g1ZGKNBPBWkTm,0.751,0.648,-5.394,0.241,0.159,0.0,0.0508,0.678,90.987,1,1,4,pop
3husjxyCMBvNeiTEcrpPSe,0.588,0.391,-8.596,0.0334,0.839,0.0,0.195,0.349,144.053,0,0,4,pop
0FE9t6xYkqWXU2ahLh6D8X,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,1,0,4,pop
3u5X4i9slPJPDgSnFShmiG,0.65,0.542,-11.762,0.065,0.0864,0.017,0.117,0.34,127.996,3,0,4,pop
74PyndGWYtfs86n60lAsYW,0.64,0.977,-5.369,0.0555,0.00461,1.68e-05,0.371,0.493,142.019,8,1,4,pop
34AMHq4j8ObJSdgZ5XrHFT,0.657,0.89,-6.1,0.105,0.0125,0.00979,0.0959,0.413,115.099,8,0,4,pop
0vg4WnUWvze6pBOJDTq99k,0.675,0.479,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,0,0,4,pop
30iwQrZ7eqb7W8s7potN3h,0.666,0.715,-9.445,0.0456,0.0325,0.0283,0.0845,0.699,122.244,0,1,4,pop
22PMfvdz35fFKYnJyMn077,0.621,0.82,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905,10,1,4,pop
70IIMYxTN9ZwtQMURX4mQQ,0.832,0.711,-4.48,0.198,0.147,1.32e-06,0.239,0.368,104.037,7,1,4,pop
0KM2y796j63t5RHhvRUxld,0.694,0.694,-8.21,0.0328,0.058,0.0126,0.129,0.608,121.876,6,0,4,pop
6BaCraQ9xeLYg4Sb9TBT2X,0.893,0.745,-3.105,0.0571,0.0642,0.0,0.0943,0.872,101.018,11,0,4,pop
2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,5,1,4,pop
0ofbQMrRDsUaVKq2mGLEAb,0.768,0.517,-4.323,0.0312,0.186,3.8e-05,0.104,0.418,104.992,7,0,4,pop
